name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,geometry,TMC
,1a,1,1534,,,326.6109466156611,1,699.0,46.67086,6,,"LINESTRING (-111.94198 33.40665,-111.94246 33.40665,-111.9427 33.40667,-111.9428 33.40668,-111.9429 33.40667,-111.94295 33.40659,-111.94293 33.40652,-111.94291 33.4064,-111.9429 33.40624,-111.9429 33.40612,-111.94293 33.40596,-111.94293 33.40587,-111.94289 33.4058,-111.94279 33.40578,-111.94271 33.40579,-111.94249 33.40583,-111.94137 33.40584)",
,1b,1534,1,,,303.53315124930043,1,699.0,46.67086,6,,"LINESTRING (-111.94137 33.4059,-111.94249 33.40589,-111.94272 33.40585,-111.94279 33.40584,-111.94283 33.40586,-111.94285 33.40589,-111.94286 33.40596,-111.94283 33.40611,-111.94282 33.40624,-111.94283 33.40641,-111.94286 33.40653,-111.94287 33.40658,-111.94285 33.40661,-111.9428 33.40662,-111.9427 33.40661,-111.94246 33.40658,-111.94198 33.40659)",
,5a,1,2637,,,86.33982582437037,1,699.0,46.67086,6,,"LINESTRING (-111.94194 33.40662,-111.94194 33.407,-111.94194 33.40705,-111.94194 33.40726,-111.94194 33.4074)",
,5b,2637,1,,,86.44038322086611,1,699.0,46.67086,6,,"LINESTRING (-111.94202 33.4074,-111.94202 33.40726,-111.94202 33.40705,-111.94202 33.407,-111.94202 33.40662)",
,7,2,48,,,58.199216971846,1,699.0,40.2335,6,,"LINESTRING (-111.96529 33.42311,-111.96529 33.423,-111.96529 33.42268,-111.96524 33.4226)",
,8,3,1461,,,14.49975531754264,2,3598.0,94.95106,1,,"LINESTRING (-111.92636 33.38616,-111.92651 33.38616)",
,9,3,1730,,,103.86047303736828,3,3597.0,64.3736,3,,"LINESTRING (-111.92636 33.38616,-111.92636 33.38624,-111.92636 33.3868,-111.92636 33.38683,-111.92644 33.38709)",
,10a,4,5,,,38.735219091771725,1,699.0,46.67086,6,,"LINESTRING (-111.88773 33.38124,-111.88807 33.38103)",
,10b,5,4,,,38.735219091771725,1,699.0,46.67086,6,,"LINESTRING (-111.88802 33.38098,-111.88769 33.38118)",
,14a,5,7,,,63.22213005280663,1,699.0,46.67086,6,,"LINESTRING (-111.88807 33.38102,-111.88827 33.38084,-111.8885 33.38058)",
,14b,7,5,,,62.52085130889727,1,699.0,46.67086,6,,"LINESTRING (-111.88844 33.38055,-111.88821 33.3808,-111.88802 33.38098)",
,16a,5,1772,,,71.27521979596682,1,699.0,40.2335,6,,"LINESTRING (-111.88801 33.38101,-111.88805 33.38111,-111.88812 33.38124,-111.88816 33.38136,-111.8882 33.38153,-111.88821 33.38163)",
,16b,1772,5,,,73.06898467107436,1,699.0,40.2335,6,,"LINESTRING (-111.88829 33.38162,-111.88828 33.38152,-111.88823 33.38134,-111.88819 33.38122,-111.88812 33.38109,-111.88808 33.38099)",
,18a,5,3253,,,108.99866068007695,1,699.0,40.2335,6,,"LINESTRING (-111.88807 33.38098,-111.88798 33.38089,-111.8879 33.3808,-111.88782 33.38073,-111.8877 33.38064,-111.88759 33.38056,-111.88744 33.38048,-111.88729 33.38041,-111.88718 33.38036)",
,18b,3253,5,,,106.47716437978416,1,699.0,40.2335,6,,"LINESTRING (-111.88715 33.38041,-111.88726 33.38046,-111.8874 33.38053,-111.88754 33.38061,-111.88765 33.38069,-111.88776 33.38077,-111.88784 33.38084,-111.88792 33.38093,-111.88802 33.38102)",
,20a,6,1861,,,97.58147028628765,1,699.0,46.67086,6,,"LINESTRING (-111.92787 33.4203,-111.92802 33.4203,-111.9288 33.4203,-111.92881 33.4203,-111.92892 33.4203)",
,20b,1861,6,,,97.36845979668153,1,699.0,46.67086,6,,"LINESTRING (-111.92892 33.42024,-111.92881 33.42024,-111.9288 33.42024,-111.92802 33.42024,-111.92787 33.42024)",
,24,8,1495,,,390.8704546881938,1,1799.0,94.95106,1,,"LINESTRING (-111.97856 33.42084,-111.97849 33.41953,-111.97846 33.41907,-111.97841 33.41853,-111.97835 33.41765,-111.97828 33.41733)",
,25a,9,881,,,255.8286241866613,1,699.0,46.67086,6,,"LINESTRING (-111.8851 33.40243,-111.8842 33.40025)",
,25b,881,9,,,255.8286241866613,1,699.0,46.67086,6,,"LINESTRING (-111.88413 33.40027,-111.88503 33.40245)",
,27a,9,2094,,,644.6990603904615,1,699.0,46.67086,6,,"LINESTRING (-111.88506 33.40241,-111.88485 33.40241,-111.88425 33.40242,-111.88422 33.40301,-111.88424 33.40368,-111.88431 33.40415,-111.88443 33.40483,-111.88461 33.40539,-111.8847 33.40566,-111.88494 33.40625,-111.88495 33.40628,-111.88498 33.40645,-111.88497 33.40658,-111.88496 33.40718,-111.88497 33.40747)",
,27b,2094,9,,,631.0586464843973,1,699.0,46.67086,6,,"LINESTRING (-111.88504 33.40747,-111.88504 33.40718,-111.88505 33.40658,-111.88505 33.40644,-111.88502 33.40627,-111.88501 33.40624,-111.88477 33.40564,-111.88468 33.40537,-111.8845 33.40481,-111.88438 33.40414,-111.88431 33.40368,-111.88429 33.40301,-111.88432 33.40248,-111.88486 33.40247,-111.88506 33.40247)",
,29a,9,2096,,,605.149101311172,1,699.0,46.67086,6,,"LINESTRING (-111.88506 33.40247,-111.88537 33.40249,-111.88594 33.40392,-111.88673 33.40587,-111.88687 33.4062,-111.88689 33.40627,-111.88693 33.40642,-111.88702 33.40693,-111.88708 33.40738,-111.88709 33.40746)",
,29b,2096,9,,,616.5231809494657,1,699.0,46.67086,6,,"LINESTRING (-111.88716 33.40746,-111.88716 33.40738,-111.88709 33.40692,-111.88701 33.4064,-111.88697 33.40626,-111.88695 33.40619,-111.8868 33.40585,-111.88601 33.4039,-111.88543 33.40242,-111.88507 33.40241)",
,31a,10,11,,,107.72510225654199,1,699.0,46.67086,6,,"LINESTRING (-111.88744 33.42024,-111.88628 33.42024)",
,31b,11,10,,,107.72510225654199,1,699.0,46.67086,6,,"LINESTRING (-111.88628 33.4203,-111.88744 33.4203)",
,33a,10,644,,,243.86756734029635,1,699.0,46.67086,6,,"LINESTRING (-111.88744 33.4203,-111.88851 33.42029,-111.89002 33.42028,-111.89006 33.42028)",
,33b,644,10,,,243.95982348977776,1,699.0,46.67086,6,,"LINESTRING (-111.89006 33.42022,-111.89002 33.42022,-111.88851 33.42023,-111.88744 33.42024)",
,35a,10,1552,,,93.63903598152596,1,699.0,46.67086,6,,"LINESTRING (-111.88747 33.42027,-111.88748 33.42005,-111.88748 33.41942)",
,35b,1552,10,,,93.64220280810298,1,699.0,46.67086,6,,"LINESTRING (-111.88741 33.41942,-111.8874 33.42005,-111.8874 33.42027)",
,37a,10,2491,,,99.59191384853489,1,699.0,46.67086,6,,"LINESTRING (-111.8874 33.42027,-111.8874 33.42044,-111.88739 33.42117)",
,37b,2491,10,,,99.69103010485554,1,699.0,46.67086,6,,"LINESTRING (-111.88747 33.42117,-111.88748 33.42044,-111.88747 33.42027)",
,39a,11,828,,,300.47126620075136,1,699.0,46.67086,6,,"LINESTRING (-111.88628 33.42024,-111.88305 33.42024)",
,39b,828,11,,,300.47126620075136,1,699.0,46.67086,6,,"LINESTRING (-111.88305 33.4203,-111.88628 33.4203)",
,43a,11,1844,,,101.09294833839161,1,699.0,46.67086,6,,"LINESTRING (-111.88632 33.42027,-111.88633 33.41936)",
,43b,1844,11,,,101.09294833839161,1,699.0,46.67086,6,,"LINESTRING (-111.88625 33.41936,-111.88624 33.42027)",
,45a,11,2492,,,99.41517745099799,1,699.0,46.67086,6,,"LINESTRING (-111.88624 33.42027,-111.88624 33.42117)",
,45b,2492,11,,,99.41517745099799,1,699.0,46.67086,6,,"LINESTRING (-111.88631 33.42117,-111.88632 33.42027)",
,47a,12,3221,,,105.8271288543572,1,699.0,40.2335,7,,"LINESTRING (-111.94058 33.38323,-111.93945 33.38324)",
,47b,3221,12,,,105.8271288543572,1,699.0,40.2335,7,,"LINESTRING (-111.93945 33.3833,-111.94058 33.38329)",
,49a,12,14,,,279.43026020036655,1,699.0,46.67086,7,,"LINESTRING (-111.94062 33.38326,-111.94061 33.38308,-111.9406 33.38259,-111.9406 33.3824,-111.9406 33.38208,-111.94059 33.38195,-111.94059 33.38179,-111.94059 33.38145,-111.94061 33.38096,-111.94066 33.38074)",
,49b,14,12,,,281.1202307240603,1,699.0,46.67086,7,,"LINESTRING (-111.94059 33.38073,-111.94054 33.38095,-111.94052 33.38145,-111.94052 33.38179,-111.94052 33.38195,-111.94052 33.38208,-111.94053 33.3824,-111.94053 33.38259,-111.94054 33.38308,-111.94055 33.38326)",
,51a,12,2221,,,405.00943037748664,1,699.0,40.2335,7,,"LINESTRING (-111.94058 33.38329,-111.94082 33.38329,-111.94106 33.38326,-111.94142 33.38313,-111.94175 33.38295,-111.94177 33.38293,-111.94181 33.38291,-111.94186 33.38287,-111.94198 33.38276,-111.94211 33.38258,-111.94215 33.38253,-111.94218 33.38248,-111.94228 33.38218,-111.94231 33.38209,-111.94231 33.38203,-111.94232 33.38183,-111.9423 33.38166,-111.94226 33.38151,-111.94213 33.38114,-111.94205 33.38093,-111.94191 33.38054)",
,51b,2221,12,,,392.0171602951073,1,699.0,40.2335,7,,"LINESTRING (-111.94184 33.38056,-111.94198 33.38095,-111.94205 33.38116,-111.94218 33.38152,-111.94222 33.38167,-111.94224 33.38184,-111.94223 33.38203,-111.94223 33.38208,-111.94221 33.38216,-111.94211 33.38246,-111.94208 33.3825,-111.94205 33.38254,-111.94192 33.38272,-111.94181 33.38282,-111.94176 33.38287,-111.94173 33.38288,-111.94171 33.38289,-111.94139 33.38307,-111.94104 33.3832,-111.94081 33.38322,-111.94058 33.38323)",
,53a,13,532,,,73.64829969134878,3,3597.0,64.3736,3,,"LINESTRING (-111.95301 33.42185,-111.95287 33.42185,-111.95282 33.42185,-111.9526 33.42185,-111.95233 33.42185,-111.95222 33.42185)",
,53b,532,13,,,73.56153844006315,3,3597.0,64.3736,3,,"LINESTRING (-111.95222 33.42198,-111.95233 33.42198,-111.9526 33.42198,-111.95282 33.42198,-111.95287 33.42198,-111.95301 33.42198)",
,55,13,1459,,,56.4888895341391,2,2398.0,64.3736,3,,"LINESTRING (-111.95301 33.42192,-111.95316 33.42196,-111.95349 33.42196,-111.9536 33.42192)",
,58a,14,2221,,,121.21978486012483,1,699.0,46.67086,7,,"LINESTRING (-111.94062 33.38077,-111.94087 33.38079,-111.94116 33.38078,-111.94148 33.38069,-111.94189 33.38058)",
,58b,2221,14,,,118.15957324227595,1,699.0,46.67086,7,,"LINESTRING (-111.94186 33.38052,-111.94146 33.38063,-111.94115 33.38072,-111.94087 33.38073,-111.94063 33.3807)",
,60a,14,2592,,,117.35511224494725,1,699.0,46.67086,7,,"LINESTRING (-111.94064 33.3807,-111.94043 33.38067,-111.94037 33.38065,-111.94028 33.38063,-111.93994 33.3806,-111.93954 33.38061,-111.93939 33.3806)",
,60b,2592,14,,,116.06641396435035,1,699.0,46.67086,7,,"LINESTRING (-111.93939 33.38067,-111.93954 33.38067,-111.93994 33.38066,-111.94026 33.38069,-111.94034 33.38071,-111.94041 33.38073,-111.94062 33.38077)",
,62a,15,908,,,156.12155789925808,1,699.0,46.67086,6,,"LINESTRING (-111.9413 33.42193,-111.94128 33.42132,-111.94128 33.42129,-111.94128 33.42123,-111.94128 33.4212,-111.94127 33.42057,-111.94127 33.42052)",
,62b,908,15,,,156.184583631179,1,699.0,46.67086,6,,"LINESTRING (-111.94119 33.42052,-111.94119 33.42057,-111.9412 33.4212,-111.9412 33.42123,-111.9412 33.42129,-111.94121 33.42133,-111.94122 33.42193)",
,64a,15,2174,,,105.03673889243717,3,3597.0,56.3269,3,,"LINESTRING (-111.94126 33.42199,-111.94175 33.42199,-111.94177 33.42199,-111.94229 33.42199,-111.94239 33.42199)",
,64b,2174,15,,,104.90650560832765,3,3597.0,56.3269,3,,"LINESTRING (-111.94239 33.42186,-111.94229 33.42187,-111.94177 33.42187,-111.94175 33.42187,-111.94126 33.42187)",
,66a,15,2556,,,109.26532389648102,3,3597.0,56.3269,3,,"LINESTRING (-111.94126 33.42187,-111.94075 33.42187,-111.9407 33.42187,-111.94057 33.42187,-111.94017 33.42187,-111.94009 33.42187)",
,66b,2556,15,,,110.27455954096556,3,3597.0,56.3269,3,,"LINESTRING (-111.94008 33.42199,-111.94017 33.422,-111.94057 33.422,-111.9407 33.422,-111.94075 33.422,-111.94126 33.42199)",
,68a,16,1375,,,113.58257718370803,1,799.0,46.67086,5,,"LINESTRING (-111.94307 33.4297,-111.94332 33.42959,-111.94341 33.42957,-111.94346 33.42956,-111.9435 33.42955,-111.94359 33.42954,-111.94389 33.42955,-111.94426 33.42955)",
,68b,1375,16,,,117.07616041217727,1,799.0,46.67086,5,,"LINESTRING (-111.94426 33.42948,-111.94389 33.42948,-111.94358 33.42948,-111.9435 33.42949,-111.94345 33.42949,-111.94339 33.42951,-111.9433 33.42953,-111.94304 33.42964)",
