link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,notes
0,0,1,0700_0800,0.000,0.005,60.000,0.000,period-based
1,1,2,0700_0800,0.000,0.005,60.000,0.000,period-based
2,2,3,0700_0800,0.000,0.005,60.000,0.000,period-based
3,3,4,0700_0800,0.000,0.005,60.000,0.000,period-based
4,4,5,0700_0800,0.000,0.005,60.000,0.000,period-based
5,5,6,0700_0800,0.000,0.005,60.000,0.000,period-based
6,6,7,0700_0800,0.000,0.005,60.000,0.000,period-based
7,7,8,0700_0800,0.000,0.005,60.000,0.000,period-based
8,8,9,0700_0800,0.000,0.005,60.000,0.000,period-based
9,9,10,0700_0800,0.000,0.005,60.000,0.000,period-based
10,10,11,0700_0800,0.000,0.005,60.000,0.000,period-based
11,11,12,0700_0800,0.000,0.005,60.000,0.000,period-based
12,12,13,0700_0800,0.000,0.005,60.000,0.000,period-based
13,13,14,0700_0800,0.000,0.005,60.000,0.000,period-based
14,14,15,0700_0800,0.000,0.005,60.000,0.000,period-based
15,15,16,0700_0800,0.000,0.005,60.000,0.000,period-based
16,16,17,0700_0800,0.000,0.005,60.000,0.000,period-based
17,17,18,0700_0800,0.000,0.005,60.000,0.000,period-based
18,18,19,0700_0800,0.000,0.005,60.000,0.000,period-based
19,19,20,0700_0800,0.000,0.005,60.000,0.000,period-based
20,20,21,0700_0800,0.000,0.005,60.000,0.000,period-based
21,21,22,0700_0800,0.000,0.005,60.000,0.000,period-based
22,22,23,0700_0800,0.000,0.005,60.000,0.000,period-based
23,23,24,0700_0800,0.000,0.005,60.000,0.000,period-based
24,24,25,0700_0800,0.000,0.005,60.000,0.000,period-based
25,25,26,0700_0800,0.000,0.005,60.000,0.000,period-based
26,26,27,0700_0800,0.000,0.005,60.000,0.000,period-based
27,27,28,0700_0800,0.000,0.005,60.000,0.000,period-based
28,28,29,0700_0800,0.000,0.005,60.000,0.000,period-based
29,29,30,0700_0800,0.000,0.005,60.000,0.000,period-based
30,30,31,0700_0800,0.000,0.005,60.000,0.000,period-based
31,31,32,0700_0800,0.000,0.005,60.000,0.000,period-based
32,32,33,0700_0800,0.000,0.005,60.000,0.000,period-based
33,33,34,0700_0800,0.000,0.005,60.000,0.000,period-based
34,34,35,0700_0800,0.000,0.005,60.000,0.000,period-based
35,35,36,0700_0800,0.000,0.005,60.000,0.000,period-based
36,36,37,0700_0800,0.000,0.005,60.000,0.000,period-based
37,37,38,0700_0800,0.000,0.005,60.000,0.000,period-based
38,38,39,0700_0800,0.000,0.005,60.000,0.000,period-based
39,39,40,0700_0800,0.000,0.005,60.000,0.000,period-based
40,40,41,0700_0800,0.000,0.005,60.000,0.000,period-based
