node_id,zone_id,x_coord,y_coord,original_node_id
333900,-1,-111.89194,33.42189,3339
334000,-1,-111.92508,33.43417,3340
334100,-1,-111.96546,33.37834,3341
334200,933,-111.94469,33.42547,3342
334300,-1,-111.8903,33.42211,3343
334400,-1,-111.90911,33.40744,3344
334700,-1,-111.90911,33.40758,3347
334800,-1,-111.92657,33.38616,3348
334900,-1,-111.89037,33.40758,3349
335000,-1,-111.89198,33.40734,3350
335200,-1,-111.89045,33.39305,3352
335300,941,-111.91952,33.40744,3353
335400,-1,-111.90927,33.38623,3354
336000,-1,-111.92644,33.44031,3360
336100,-1,-111.92636,33.44024,3361
336500,-1,-111.92623,33.44028,3365
336600,-1,-111.92631,33.44035,3366
100,1,-111.94206,33.40665,1
153400,1178,-111.94145,33.40584,1534
153401,1178,-111.94145,33.4059,1534
101,1,-111.94206,33.40659,1
102,1,-111.94194,33.40669,1
263700,1979,-111.94194,33.40732,2637
263701,1979,-111.94202,33.40733,2637
103,1,-111.94202,33.40669,1
200,2,-111.96529,33.42311,2
4800,35,-111.96528,33.42266,48
300,-1,-111.92637,33.38616,3
146100,-1,-111.9265,33.38616,1461
301,-1,-111.92636,33.38629,3
173000,-1,-111.9264,33.38697,1730
400,3,-111.88773,33.38123,4
500,4,-111.888,33.38107,5
501,4,-111.88795,33.38102,5
401,3,-111.88769,33.38118,4
502,4,-111.88813,33.38097,5
700,6,-111.8885,33.38058,7
701,6,-111.88844,33.38055,7
503,4,-111.88808,33.38093,5
504,4,-111.88804,33.38108,5
177200,1358,-111.88821,33.38156,1772
177201,1358,-111.88828,33.38155,1772
505,4,-111.88811,33.38106,5
506,4,-111.88802,33.38093,5
325300,2441,-111.88726,33.38039,3253
325301,2441,-111.88722,33.38045,3253
507,4,-111.88796,33.38097,5
600,5,-111.92787,33.4203,6
186100,1427,-111.92883,33.4203,1861
186101,1427,-111.92883,33.42024,1861
601,5,-111.92787,33.42024,6
800,-1,-111.97856,33.42084,8
900,7,-111.88507,33.40236,9
88100,683,-111.88423,33.40032,881
88101,683,-111.88416,33.40034,881
901,7,-111.885,33.40238,9
902,7,-111.88498,33.40241,9
209400,1558,-111.88497,33.4074,2094
209401,1558,-111.88504,33.40739,2094
903,7,-111.88498,33.40247,9
904,7,-111.88515,33.40248,9
209600,1560,-111.88708,33.40739,2096
209601,1560,-111.88716,33.40739,2096
905,7,-111.88515,33.40241,9
1000,8,-111.88735,33.42024,10
1100,9,-111.88636,33.42024,11
1101,9,-111.88636,33.4203,11
1001,8,-111.88735,33.4203,10
1002,8,-111.88752,33.4203,10
64400,504,-111.89006,33.42028,644
64401,504,-111.89006,33.42022,644
1003,8,-111.88752,33.42024,10
1004,8,-111.88748,33.4202,10
155200,1192,-111.88748,33.41949,1552
155201,1192,-111.88741,33.41949,1552
1005,8,-111.8874,33.42019,10
1006,8,-111.8874,33.42034,10
